phecode,male_only,female_only
327,FALSE,FALSE
327.1,FALSE,FALSE
327.3,FALSE,FALSE
327.31,FALSE,FALSE
327.32,FALSE,FALSE
327.4,FALSE,FALSE
327.41,FALSE,FALSE
327.5,FALSE,FALSE
327.6,FALSE,FALSE
327.7,FALSE,FALSE
327.71,FALSE,FALSE
327.72,FALSE,FALSE
331,FALSE,FALSE
331.1,FALSE,FALSE
331.9,FALSE,FALSE
332,FALSE,FALSE
333,FALSE,FALSE
333.1,FALSE,FALSE
333.2,FALSE,FALSE
333.3,FALSE,FALSE
333.4,FALSE,FALSE
333.8,FALSE,FALSE
334,FALSE,FALSE
334.1,FALSE,FALSE
334.2,FALSE,FALSE
334.21,FALSE,FALSE
335,FALSE,FALSE
337,FALSE,FALSE
337.1,FALSE,FALSE
338,FALSE,FALSE
338.1,FALSE,FALSE
338.2,FALSE,FALSE
339,FALSE,FALSE
340,FALSE,FALSE
340.1,FALSE,FALSE
341,FALSE,FALSE
342,FALSE,FALSE
343,FALSE,FALSE
344,FALSE,FALSE
345,FALSE,FALSE
345.1,FALSE,FALSE
345.11,FALSE,FALSE
345.12,FALSE,FALSE
345.3,FALSE,FALSE
346,FALSE,FALSE
346.1,FALSE,FALSE
346.2,FALSE,FALSE
346.3,FALSE,FALSE
347,FALSE,FALSE
348,FALSE,FALSE
348.2,FALSE,FALSE
348.4,FALSE,FALSE
348.7,FALSE,FALSE
348.8,FALSE,FALSE
348.9,FALSE,FALSE
349,FALSE,FALSE
350,FALSE,FALSE
350.1,FALSE,FALSE
350.2,FALSE,FALSE
350.3,FALSE,FALSE
350.5,FALSE,FALSE
350.6,FALSE,FALSE
351,FALSE,FALSE
352,FALSE,FALSE
352.1,FALSE,FALSE
352.2,FALSE,FALSE
353,FALSE,FALSE
353.1,FALSE,FALSE
353.2,FALSE,FALSE
355,FALSE,FALSE
355.1,FALSE,FALSE
356,FALSE,FALSE
357,FALSE,FALSE
358,FALSE,FALSE
358.1,FALSE,FALSE
359,FALSE,FALSE
359.1,FALSE,FALSE
359.2,FALSE,FALSE
360,FALSE,FALSE
360.2,FALSE,FALSE
360.3,FALSE,FALSE
361,FALSE,FALSE
361.1,FALSE,FALSE
361.2,FALSE,FALSE
362,FALSE,FALSE
362.1,FALSE,FALSE
362.2,FALSE,FALSE
362.21,FALSE,FALSE
362.22,FALSE,FALSE
362.23,FALSE,FALSE
362.26,FALSE,FALSE
362.27,FALSE,FALSE
362.29,FALSE,FALSE
362.3,FALSE,FALSE
362.31,FALSE,FALSE
362.4,FALSE,FALSE
362.5,FALSE,FALSE
362.6,FALSE,FALSE
362.7,FALSE,FALSE
362.8,FALSE,FALSE
362.9,FALSE,FALSE
363,FALSE,FALSE
363.3,FALSE,FALSE
363.4,FALSE,FALSE
364,FALSE,FALSE
364.1,FALSE,FALSE
364.2,FALSE,FALSE
364.4,FALSE,FALSE
364.41,FALSE,FALSE
364.5,FALSE,FALSE
364.51,FALSE,FALSE
364.9,FALSE,FALSE
365,FALSE,FALSE
365.1,FALSE,FALSE
365.11,FALSE,FALSE
365.2,FALSE,FALSE
365.5,FALSE,FALSE
366,FALSE,FALSE
366.1,FALSE,FALSE
366.2,FALSE,FALSE
366.3,FALSE,FALSE
367,FALSE,FALSE
367.1,FALSE,FALSE
367.2,FALSE,FALSE
367.8,FALSE,FALSE
367.9,FALSE,FALSE
368,FALSE,FALSE
368.1,FALSE,FALSE
368.2,FALSE,FALSE
368.3,FALSE,FALSE
368.4,FALSE,FALSE
368.5,FALSE,FALSE
368.7,FALSE,FALSE
368.9,FALSE,FALSE
368.91,FALSE,FALSE
369,FALSE,FALSE
369.2,FALSE,FALSE
369.5,FALSE,FALSE
370,FALSE,FALSE
370.1,FALSE,FALSE
370.2,FALSE,FALSE
370.3,FALSE,FALSE
370.31,FALSE,FALSE
371,FALSE,FALSE
371.1,FALSE,FALSE
371.2,FALSE,FALSE
371.21,FALSE,FALSE
371.3,FALSE,FALSE
371.33,FALSE,FALSE
371.9,FALSE,FALSE
372,FALSE,FALSE
374,FALSE,FALSE
374.1,FALSE,FALSE
374.2,FALSE,FALSE
374.3,FALSE,FALSE
374.6,FALSE,FALSE
375,FALSE,FALSE
375.1,FALSE,FALSE
375.2,FALSE,FALSE
376,FALSE,FALSE
377,FALSE,FALSE
377.1,FALSE,FALSE
377.3,FALSE,FALSE
378,FALSE,FALSE
378.1,FALSE,FALSE
378.2,FALSE,FALSE
378.5,FALSE,FALSE
379,FALSE,FALSE
379.1,FALSE,FALSE
379.2,FALSE,FALSE
379.3,FALSE,FALSE
379.4,FALSE,FALSE
379.5,FALSE,FALSE
379.51,FALSE,FALSE
379.9,FALSE,FALSE
380,FALSE,FALSE
380.1,FALSE,FALSE
380.4,FALSE,FALSE
381,FALSE,FALSE
381.1,FALSE,FALSE
381.11,FALSE,FALSE
381.2,FALSE,FALSE
381.3,FALSE,FALSE
381.9,FALSE,FALSE
382,FALSE,FALSE
383,FALSE,FALSE
384,FALSE,FALSE
384.1,FALSE,FALSE
384.4,FALSE,FALSE
385,FALSE,FALSE
385.3,FALSE,FALSE
385.5,FALSE,FALSE
386,FALSE,FALSE
386.1,FALSE,FALSE
386.2,FALSE,FALSE
386.21,FALSE,FALSE
386.3,FALSE,FALSE
386.9,FALSE,FALSE
388,FALSE,FALSE
389,FALSE,FALSE
389.1,FALSE,FALSE
389.2,FALSE,FALSE
389.3,FALSE,FALSE
389.4,FALSE,FALSE
389.5,FALSE,FALSE
394,FALSE,FALSE
394.1,FALSE,FALSE
394.2,FALSE,FALSE
394.3,FALSE,FALSE
394.4,FALSE,FALSE
394.7,FALSE,FALSE
395,FALSE,FALSE
395.1,FALSE,FALSE
395.2,FALSE,FALSE
395.3,FALSE,FALSE
395.4,FALSE,FALSE
395.6,FALSE,FALSE
396,FALSE,FALSE
401,FALSE,FALSE
401.1,FALSE,FALSE
401.2,FALSE,FALSE
401.21,FALSE,FALSE
401.22,FALSE,FALSE
401.3,FALSE,FALSE
