"","code","phecode_unrolled"
"637","362.5","362.5"
"638","362.6","362.6"
"639","362.7","362.7"
"640","362.8","362.8"
"641","362.9","362.9"
"642","363","363"
"643","363.3","363.3"
"644","363.4","363.4"
"645","364","364"
"646","364.1","364.1"
"647","364.2","364.2"
"648","364.4","364.4"
"649","364.41","364.41"
"650","364.5","364.5"
"651","364.51","364.51"
"652","364.9","364.9"
"653","365","365"
"654","365.1","365.1"
"655","365.11","365.11"
"656","365.2","365.2"
"657","365.5","365.5"
"658","366","366"
"659","366.1","366.1"
"660","366.2","366.2"
"661","366.3","366.3"
"662","367","367"
"663","367.1","367.1"
"664","367.2","367.2"
"665","367.4","367.4"
"666","367.8","367.8"
"667","367.9","367.9"
"668","368","368"
"669","368.1","368.1"
"670","368.2","368.2"
"671","368.3","368.3"
"672","368.4","368.4"
"673","368.5","368.5"
"674","368.7","368.7"
"675","368.9","368.9"
"676","368.91","368.91"
"677","369","369"
"678","369.2","369.2"
"679","369.5","369.5"
"680","370","370"
"681","370.1","370.1"
"682","370.2","370.2"
"683","370.3","370.3"
"684","370.31","370.31"
"685","371","371"
"686","371.1","371.1"
"687","371.2","371.2"
"688","371.21","371.21"
"689","371.3","371.3"
"690","371.33","371.33"
"691","371.9","371.9"
"692","372","372"
"693","374","374"
"694","374.1","374.1"
"695","374.2","374.2"
"696","374.3","374.3"
"697","374.6","374.6"
"698","375","375"
"699","375.1","375.1"
"700","375.2","375.2"
"701","376","376"
"702","377","377"
"703","377.1","377.1"
"704","377.3","377.3"
"705","378","378"
"706","378.1","378.1"
"707","378.2","378.2"
"708","378.5","378.5"
"709","379","379"
"710","379.1","379.1"
"711","379.2","379.2"
"712","379.3","379.3"
"713","379.4","379.4"
"714","379.5","379.5"
"715","379.51","379.51"
"716","379.9","379.9"
"717","380","380"
"718","380.1","380.1"
"719","380.4","380.4"
"720","381","381"
"721","381.1","381.1"
"722","381.11","381.11"
"723","381.2","381.2"
"724","381.3","381.3"
"725","381.9","381.9"
"726","382","382"
"727","383","383"
"728","384","384"
"729","384.1","384.1"
"730","384.4","384.4"
"731","385","385"
"732","385.3","385.3"
"733","385.5","385.5"
"734","386","386"
"735","386.1","386.1"
"736","386.2","386.2"
"737","386.21","386.21"
"738","386.3","386.3"
"739","386.9","386.9"
"740","388","388"
"741","389","389"
"742","389.1","389.1"
"743","389.2","389.2"
"744","389.3","389.3"
"745","389.4","389.4"
"746","389.5","389.5"
"747","394","394"
"748","394.1","394.1"
"749","394.2","394.2"
"750","394.3","394.3"
"751","394.4","394.4"
"752","394.7","394.7"
"753","395","395"
"754","395.1","395.1"
"755","395.2","395.2"
"756","395.3","395.3"
"757","395.4","395.4"
"758","395.6","395.6"
"759","396","396"
"760","401","401"
"761","401.1","401.1"
"762","401.2","401.2"
"763","401.21","401.21"
"764","401.22","401.22"
"765","401.3","401.3"
"766","402","402"
"767","411","411"
"768","411.1","411.1"
"769","411.2","411.2"
"770","411.3","411.3"
"771","411.4","411.4"
"772","411.41","411.41"
"773","411.8","411.8"
"774","411.9","411.9"
"775","414","414"
"776","414.2","414.2"
"777","415","415"
"778","415.1","415.1"
"779","415.11","415.11"
"780","415.2","415.2"
"781","415.21","415.21"
"782","416","416"
"783","418","418"
"784","418.1","418.1"
"785","420","420"
"786","420.1","420.1"
"787","420.2","420.2"
"788","420.21","420.21"
"789","420.22","420.22"
"790","420.3","420.3"
"791","425","425"
"792","425.1","425.1"
"793","425.11","425.11"
"794","425.12","425.12"
"795","425.2","425.2"
"796","425.8","425.8"
"797","426","426"
"798","426.2","426.2"
"799","426.21","426.21"
"800","426.22","426.22"
"801","426.23","426.23"
"802","426.24","426.24"
"803","426.25","426.25"
"804","426.3","426.3"
"805","426.31","426.31"
"806","426.32","426.32"
"807","426.4","426.4"
"808","426.7","426.7"
"809","426.8","426.8"
"810","426.9","426.9"
"811","426.91","426.91"
"812","426.92","426.92"
"813","427","427"
"814","427.1","427.1"
"815","427.11","427.11"
"816","427.12","427.12"
"817","427.2","427.2"
"818","427.21","427.21"
"819","427.22","427.22"
"820","427.3","427.3"
"821","427.4","427.4"
"822","427.41","427.41"
"823","427.42","427.42"
"824","427.5","427.5"
"825","427.6","427.6"
"826","427.61","427.61"
"827","427.7","427.7"
"828","427.8","427.8"
"829","427.9","427.9"
